Unterlunkhofen;1688
Villmergen;8242
Widen;3815
Wohlen (Ag);17816
Zufikon;4906
Islisberg;692
;
Auenstein;1743
Birr;4847
Birrhard;969
Brugg;13529
Habsburg;431
Hausen (Ag);3774
Lupfig;3401
Mandach;328
Mönthal;393
Mülligen;1088
Remigen;1380
Riniken;1568
Rüfenach;888
Thalheim (Ag);956
Veltheim (Ag);1600
Villigen;2231
Villnachern;1705
Windisch;8153
Bözberg;1696
Schinznach;2462
;
Beinwil Am See;3719
Birrwil;1414
Dürrenäsch;1375
Gontenschwil;2209
Holziken;1763
Leimbach (Ag);543
Leutwil;755
Menziken;8672
Oberkulm;3023
Reinach (Ag);9634
Schlossrued;893
Schmiedrued;1160
Schöftland;4608
Teufenthal (Ag);1803
Unterkulm;3801
Zetzwil;1381
;
Eiken;2516
Frick;5924
Gansingen;1128
Gipf-Oberfrick;3887
Kaisten;2946
Laufenburg;3858
Münchwilen (Ag);1077
Oberhof;584
Oeschgen;1185
Schwaderloch;728
Sisseln;1653
Wittnau;1429
Wölflinswil;1077
Zeihen;1265
Mettauertal;2176
Böztal;2940
Herznach-Ueken;2667
;
Ammerswil;802
Boniswil;1770
Brunegg;920
Dintikon;2428
Egliswil;1605
Fahrwangen;2536
Hallwil;1024
Hendschiken;1387
Holderbank (Ag);1570
Hunzenschwil;4382
Lenzburg;11314
Meisterschwanden;3310
Möriken-Wildegg;4987
Niederlenz;4958
Othmarsingen;3168
Rupperswil;6229
Schafisheim;3155
Seengen;4494
Seon;5652
Staufen;4402
;
Abtwil;1120
Aristau;1603
Auw;2301
Beinwil (Freiamt);1309
Besenbüren;637
Bettwil;716
Boswil;3114
Bünzen;1245
Buttwil;1297
Dietwil;1417
Geltwil;241
Kallern;422
Merenschwand;3893
Mühlau;1347
Muri (Ag);8712
Oberrüti;1630
Rottenschwil;960
Sins;4491
Waltenschwil;3186
;
Hellikon;850
Kaiseraugst;5824
Magden;3888
Möhlin;11389
Mumpf;1563
Obermumpf;1081
Olsberg;360
Rheinfelden;13820
Schupfart;883
Stein (Ag);3512
Wallbach;2065
Wegenstetten;1017
Zeiningen;2545
Zuzgen;909
;
Aarburg;8917
Bottenwil;863
Brittnau;4339
Kirchleerau;938
Kölliken;5106
Moosleerau;955
Murgenthal;3128
Oftringen;15120
Reitnau;1621
Rothrist;9896
Safenwil;4630
Staffelbach;1365
Strengelbach;5098
Uerkheim;1441
Vordemwald;2039
Wiliberg;170
Zofingen;12876
;
Böttstein;4326
Döttingen;4561
Endingen;2717
Fisibach;605
Full-Reuenthal;1013
Klingnau;3700
Koblenz;1821
Leibstadt;1605
Lengnau (Ag);2955
Leuggern;2444
Mellikon;224
Schneisingen;1564
Siglistorf;799
Tegerfelden;1304
Zurzach;8336
;
;
